jenis_kelamin,usia,pendidikan,pekerjaan,penghasilan,domisili,durasi_internet,aktivitas_online_meningkat,layanan_aktif_1,layanan_aktif_2,layanan_aktif_3,layanan_aktif_4,layanan_aktif_5,layanan_aktif_6,bank_1,bank_2,bank_3,bank_4,bank_5,bank_6,bank_7,freq_atm,freq_internet_bank,freq_mobile_bank,freq_sms_bank,freq_cabang,fitur_cekSaldo,fitur_mutasi,fitur_transfer_sesamabank,fitur_transfer_antarbank,fitur_pulsa,fitur_tagihan,keluhan_1,keluhan_2,keluhan3
Pria,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,4.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,52.0,S1,Karyawan Swasta,> Rp 10 juta,jakarta,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,12.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,50.0,S2,Profesional,> Rp 10 juta,jakarta,10.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,18.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bekasi,5.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,20.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,makassar,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,19.0,S1,Pelajar / Mahasiswa,Rp 2 juta – Rp 5 juta,jakarta,24.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,20.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,yogyakarta,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,26.0,S2,Profesional,Rp 2 juta – Rp 5 juta,bandung,10.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,36.0,S1,Karyawan BUMN,> Rp 10 juta,jakarta,9.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,20.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,8.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,45.0,S1,Karyawan Swasta,> Rp 10 juta,jakarta,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,48.0,S2,Karyawan Swasta,> Rp 10 juta,bekasi,8.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,19.0,SMA,Karyawan Swasta,Rp 2 juta – Rp 5 juta,pontianak,12.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,20.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,6.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,21.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,49.0,SMA,Pengusaha,> Rp 10 juta,bandung,16.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,17.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,4.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,43.0,S1,Pegawai Negeri,> Rp 10 juta,tangerang,8.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,49.0,S1,Pengusaha,> Rp 10 juta,bandung,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,43.0,S1,Karyawan Swasta,> Rp 10 juta,surakarta,7.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,43.0,S1,Karyawan Swasta,Rp 5 juta – Rp 10 juta,jakarta,8.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,20.0,S1,Pelajar / Mahasiswa,< Rp 2 juta,yogyakarta,6.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,37.0,S1,Karyawan Swasta,Rp 5 juta – Rp 10 juta,jakarta,17.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,47.0,S1,Dosen tdk tetap,Rp 2 juta – Rp 5 juta,bandung,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,48.0,S1,Karyawan bumn,> Rp 10 juta,karawang,12.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,22.0,S1,Pelajar / Mahasiswa,Rp 2 juta – Rp 5 juta,bandung,10.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,tangerang selatan,7.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,medan,9.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,55.0,S1,Pengusaha,> Rp 10 juta,bandung,3.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,26.0,S2,Profesional,Rp 5 juta – Rp 10 juta,bandung,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,20.0,S1,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,6.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,49.0,S1,Ibu Rumah Tangga,Rp 5 juta – Rp 10 juta,ambon,5.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,26.0,S1,Karyawan Swasta,Rp 2 juta – Rp 5 juta,bekasi,18.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,20.0,SMA,Pelajar / Mahasiswa,Rp 2 juta – Rp 5 juta,bandung,15.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,18.0,SMA,Pelajar / Mahasiswa,Rp 2 juta – Rp 5 juta,medan,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,20.0,SMA,Pelajar / Mahasiswa,Rp 2 juta – Rp 5 juta,bandung,10.0,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,45.0,S1,Karyawan Swasta,Rp 2 juta – Rp 5 juta,semarang,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,51.0,S2,Karyawan Swasta,Rp 5 juta – Rp 10 juta,jakarta,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,30.0,S1,Pegawai Negeri,> Rp 10 juta,bogor,8.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,cimahi,8.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,20.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,39.0,S1,Karyawan Swasta,Rp 5 juta – Rp 10 juta,semarang,10.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,35.0,S1,Freelancer,Rp 5 juta – Rp 10 juta,tangerang,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,56.0,S1,Karyawan Swasta,Rp 5 juta – Rp 10 juta,depok,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,23.0,S1,Pelajar / Mahasiswa,< Rp 2 juta,jakarta,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,31.0,S1,Karyawan BUMD,Rp 5 juta – Rp 10 juta,bandung,15.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,18.0,SMA,Pelajar / Mahasiswa,Rp 2 juta – Rp 5 juta,bogor,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,19.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,bandung,6.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,S1,Pelajar / Mahasiswa,Rp 2 juta – Rp 5 juta,padang,8.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,20.0,SMA,Pelajar / Mahasiswa,< Rp 2 juta,medan,5.0,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,19.0,SMA,Pelajar / Mahasiswa,Rp 2 juta – Rp 5 juta,bandung,8.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,27.0,S2,Karyawan Swasta,Rp 2 juta – Rp 5 juta,medan,7.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,48.0,S2,Karyawan BUMN,> Rp 10 juta,tangerang selatan,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,24.0,S1,Karyawan Swasta,Rp 5 juta – Rp 10 juta,bogor,6.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,19.0,S1,Pelajar / Mahasiswa,< Rp 2 juta,bandung,,Sama saja,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanita,46.0,S1,Karyawan Swasta,> Rp 10 juta,surabaya,,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pria,25.0,S1,Karyawan Swasta,Rp 5 juta – Rp 10 juta,bekasi,6.0,Ya,,,,,,,,,,,,,,,,,,,,,,,,,,,
